route_csv,segment_count,direct_miles,total_miles
"LGA,FLL,ATL,MCO",3,949,2059
"LGA,FLL,EWR,MCO",3,949,3077
"SEA,LAX",1,953,953
"SEA,SFO,LAX",2,953,1015
"SEA,PHX,LAX",2,953,1476
"SEA,LAS,LAX",2,953,1102
"SEA,SFO,ORD,LAX",3,953,4269
"SEA,SFO,LAS,LAX",3,953,1328
"SEA,SFO,JFK,LAX",3,953,5739
"SEA,SFO,DEN,LAX",3,953,2507
"SEA,PHX,DEN,LAX",3,953,2570
"SEA,PHX,ORD,LAX",3,953,4291
"SEA,LAS,DEN,LAX",3,953,2356
"SEA,LAS,SFO,LAX",3,953,1617
"SEA,LAS,ATL,LAX",3,953,4559
"SEA,LAS,ORD,LAX",3,953,4125
"DEN,SFO",1,967,967
"DEN,LAX,SFO",2,967,1199
"DEN,LAS,SFO",2,967,1042
"DEN,ORD,SFO",2,967,2734
"DEN,PHX,ORD,SFO",3,967,3887
"DEN,PHX,SEA,SFO",3,967,2386
"DEN,PHX,LAX,SFO",3,967,1309
"DEN,LAX,JFK,SFO",3,967,5922
"DEN,LAX,ORD,SFO",3,967,4452
"DEN,LAX,LAS,SFO",3,967,1512
"DEN,LAX,SEA,SFO",3,967,2494
"DEN,LAS,LAX,SFO",3,967,1201
"DEN,LAS,SEA,SFO",3,967,2173
"DEN,LAS,ORD,SFO",3,967,3988
"DEN,ORD,LAX,SFO",3,967,2970
"DEN,ORD,LAS,SFO",3,967,2816
"DEN,ATL,LAX,SFO",3,967,3483
"DEN,ATL,ORD,SFO",3,967,3651
"DEN,ATL,LAS,SFO",3,967,3359
"DEN,DFW,LAX,SFO",3,967,2213
"DEN,DFW,ORD,SFO",3,967,3289
"DEN,MSP,ORD,SFO",3,967,2860
"MSP,ORD,MCO,PHL",3,980,2200
"MSP,ORD,ATL,PHL",3,980,1606
"MSP,DEN,ATL,PHL",3,980,2545
"DFW,ORD,MCO",2,984,1806
"DFW,ATL,MCO",2,984,1134
"DFW,LAX,ORD,MCO",3,984,3984
"DFW,LAX,ATL,MCO",3,984,3584
"DFW,ORD,ATL,MCO",3,984,1811
"DFW,ATL,ORD,MCO",3,984,2342
"DFW,ATL,PHL,MCO",3,984,2258
"DFW,DEN,ORD,MCO",3,984,2534
"DFW,DEN,ATL,MCO",3,984,2244
"DFW,DEN,SLC",2,988,1032
"DFW,LAX,DEN,SLC",3,988,2487
"DFW,ORD,DEN,SLC",3,988,2080
"DFW,ATL,DEN,SLC",3,988,2321
"MSP,DEN,SLC",2,991,1070
"MSP,PHX,DEN,SLC",3,991,2268
"MSP,ORD,DEN,SLC",3,991,1613
"FLL,ATL,PHL",2,992,1246
"FLL,ATL,MCO,PHL",3,992,1845
"FLL,EWR,MCO,PHL",3,992,2863
"FLL,LGA,ATL,PHL",3,992,2503
"TPA,ATL,MCO,EWR",3,997,1746
"TPA,ATL,FLL,EWR",3,997,2051
"MCO,ORD",1,1005,1005
"MCO,ATL,ORD",2,1005,1009
"MCO,ATL,LGA,ORD",3,1005,1898
"MCO,ATL,LAX,ORD",3,1005,4094
"MCO,ATL,DFW,ORD",3,1005,1936
"MCO,ATL,DEN,ORD",3,1005,2491
"MCO,ATL,LAS,ORD",3,1005,3664
"MCO,EWR,SFO,ORD",3,1005,5348
"MCO,PHL,ATL,ORD",3,1005,2133
"JFK,LAX,ATL,TPA",3,1005,4827
"MSP,ORD,SFO,EWR",3,1008,4745
"MSP,ORD,MCO,EWR",3,1008,2276
"MSP,DEN,SFO,EWR",3,1008,4212
"LGA,ATL,TPA",2,1010,1167
"LGA,ORD,ATL,TPA",3,1010,1744
"LGA,MIA,ATL,TPA",3,1010,2097
"LGA,FLL,ATL,TPA",3,1010,2062
"TPA,ATL,ORD",2,1011,1011
"TPA,ATL,MCO,ORD",3,1011,1814
"TPA,ATL,LGA,ORD",3,1011,1900
"TPA,ATL,LAX,ORD",3,1011,4096
"TPA,ATL,DFW,ORD",3,1011,1939
"TPA,ATL,DEN,ORD",3,1011,2493
"TPA,ATL,LAS,ORD",3,1011,3666
"MIA,ATL,PHL",2,1013,1260
"MIA,LGA,ATL,PHL",3,1013,2524
"MIA,ATL,MCO,PHL",3,1013,1859
"LGA,ORD,MSP",2,1020,1067
"LGA,ORD,DEN,MSP",3,1020,2301
"LGA,ORD,PHX,MSP",3,1020,3449
"LGA,ATL,ORD,MSP",3,1020,1701
"LGA,ATL,DEN,MSP",3,1020,2640
"DEN,PHX,SEA",2,1024,1708
"DEN,LAX,SEA",2,1024,1815
"DEN,LAS,SEA",2,1024,1494
"DEN,SFO,SEA",2,1024,1645
"DEN,PHX,LAX,SEA",3,1024,1925
"DEN,LAX,SFO,SEA",3,1024,1877
"DEN,LAX,LAS,SEA",3,1024,1964
"DEN,LAX,PHX,SEA",3,1024,2338
"DEN,LAS,LAX,SEA",3,1024,1818
"DEN,LAS,SFO,SEA",3,1024,1720
"DEN,ORD,LAX,SEA",3,1024,3586
"DEN,ORD,SFO,SEA",3,1024,3412
"DEN,ORD,PHX,SEA",3,1024,3434
"DEN,ORD,LAS,SEA",3,1024,3268
"DEN,SFO,LAX,SEA",3,1024,2258
"DEN,SFO,LAS,SEA",3,1024,2247
"DEN,ATL,LAX,SEA",3,1024,4099
"DEN,ATL,LAS,SEA",3,1024,3812
"DEN,DFW,LAX,SEA",3,1024,2830
"DEN,MSP,PHX,SEA",3,1024,3062
"JFK,LAX,ORD,MSP",3,1028,4553
"JFK,LAX,DEN,MSP",3,1028,4016
"JFK,LAX,PHX,MSP",3,1028,4121
"JFK,SFO,ORD,MSP",3,1028,4766
"JFK,SFO,DEN,MSP",3,1028,4233
"SAN,SFO,SEA",2,1050,1125
"SAN,SFO,LAX,SEA",3,1050,1737
"SAN,SFO,LAS,SEA",3,1050,1727
"DFW,LAX,LAS",2,1055,1471
"DFW,ORD,LAS",2,1055,2316
"DFW,ATL,LAS",2,1055,2477
"DFW,DEN,LAS",2,1055,1269
"DFW,LAX,SFO,LAS",3,1055,1986
"DFW,LAX,ORD,LAS",3,1055,4493
"DFW,LAX,DEN,LAS",3,1055,2724
"DFW,LAX,SEA,LAS",3,1055,3055
"DFW,LAX,ATL,LAS",3,1055,4927
"DFW,ORD,LAX,LAS",3,1055,2782
"DFW,ORD,SFO,LAS",3,1055,3061
"DFW,ORD,DEN,LAS",3,1055,2318
"DFW,ORD,ATL,LAS",3,1055,3154
"DFW,ATL,LAX,LAS",3,1055,2914
"DFW,ATL,ORD,LAS",3,1055,2851
"DFW,ATL,DEN,LAS",3,1055,2558
"DFW,DEN,LAX,LAS",3,1055,1739
"DFW,DEN,ORD,LAS",3,1055,3043
"DFW,DEN,SFO,LAS",3,1055,2022
"DFW,DEN,ATL,LAS",3,1055,3587
"FLL,EWR",1,1064,1064
"FLL,ATL,MCO,EWR",3,1064,1921
"JFK,LAX,ATL,FLL",3,1068,5001
"JFK,SFO,EWR,FLL",3,1068,6215
"LGA,FLL",1,1075,1075
"LGA,ATL,FLL",2,1075,1342
"LGA,ORD,ATL,FLL",3,1075,1919
"LGA,MIA,ATL,FLL",3,1075,2271
"MIA,LGA,FLL,EWR",3,1085,3236
"MIA,ATL,MCO,EWR",3,1085,1935
"MIA,ATL,FLL,EWR",3,1085,2239
"JFK,LAX,ATL,MIA",3,1089,5015
"LGA,MIA",1,1096,1096
"LGA,ATL,MIA",2,1096,1356
"LGA,ORD,ATL,MIA",3,1096,1933
"LGA,FLL,ATL,MIA",3,1096,2250
"SEA,PHX",1,1106,1106
"SEA,LAX,PHX",2,1106,1324
"SEA,LAX,ORD,PHX",3,1106,4138
"SEA,LAX,DEN,PHX",3,1106,2417
"SEA,SFO,LAX,PHX",3,1106,1386
"SEA,SFO,ORD,PHX",3,1106,3964
"SEA,SFO,DEN,PHX",3,1106,2247
"SEA,LAS,LAX,PHX",3,1106,1472
"SEA,LAS,DEN,PHX",3,1106,2096
"SEA,LAS,ORD,PHX",3,1106,3820
"FLL,ATL,DFW",2,1118,1312
"FLL,ATL,LAX,DFW",3,1118,3762
"FLL,ATL,ORD,DFW",3,1118,1988
"FLL,ATL,DEN,DFW",3,1118,2421
"FLL,LGA,ORD,DFW",3,1118,2610
"FLL,LGA,ATL,DFW",3,1118,2568
"MIA,ATL,DFW",2,1120,1325
"MIA,LGA,ORD,DFW",3,1120,2631
"MIA,LGA,ATL,DFW",3,1120,2589
"MIA,ATL,LAX,DFW",3,1120,3775
"MIA,ATL,ORD,DFW",3,1120,2002
"MIA,ATL,DEN,DFW",3,1120,2435
"SAN,SFO,LAX,DFW",3,1170,2018
"SAN,SFO,ORD,DFW",3,1170,3094
"SAN,SFO,DEN,DFW",3,1170,2054
"FLL,ATL,ORD",2,1181,1186
"FLL,LGA,ORD",2,1181,1808
"FLL,ATL,MCO,ORD",3,1181,1989
"FLL,ATL,LGA,ORD",3,1181,2075
"FLL,ATL,LAX,ORD",3,1181,4271
"FLL,ATL,DFW,ORD",3,1181,2113
"FLL,ATL,DEN,ORD",3,1181,2668
"FLL,ATL,LAS,ORD",3,1181,3841
"FLL,EWR,MCO,ORD",3,1181,3007
"FLL,EWR,SFO,ORD",3,1181,5475
"FLL,LGA,ATL,ORD",3,1181,2442
"DCA,ATL,DFW",2,1191,1278
"DCA,ATL,LAX,DFW",3,1191,3728
"DCA,ATL,ORD,DFW",3,1191,1954
"DCA,ATL,DEN,DFW",3,1191,2387
"MIA,LGA,ORD",2,1197,1829
"MIA,ATL,ORD",2,1197,1200
"MIA,LGA,ATL,ORD",3,1197,2463
"MIA,ATL,MCO,ORD",3,1197,2003
"MIA,ATL,LGA,ORD",3,1197,2089
"MIA,ATL,LAX,ORD",3,1197,4285
"MIA,ATL,DFW,ORD",3,1197,2127
"MIA,ATL,DEN,ORD",3,1197,2682
"MIA,ATL,LAS,ORD",3,1197,3855
"ATL,DEN",1,1199,1199
"ATL,LAX,DEN",2,1199,2808
"ATL,DFW,DEN",2,1199,1372
"ATL,ORD,DEN",2,1199,1494
"ATL,LAS,DEN",2,1199,2374
"ATL,MCO,ORD,DEN",3,1199,2296
"ATL,LGA,ORD,DEN",3,1199,2383
"ATL,LAX,SFO,DEN",3,1199,3250
"ATL,LAX,ORD,DEN",3,1199,4579
"ATL,LAX,LAS,DEN",3,1199,2810
"ATL,LAX,DFW,DEN",3,1199,3822
"ATL,LAX,PHX,DEN",3,1199,2918
"ATL,DFW,LAX,DEN",3,1199,2828
"ATL,DFW,ORD,DEN",3,1199,2421
"ATL,ORD,LAX,DEN",3,1199,3212
"ATL,ORD,SFO,DEN",3,1199,3419
"ATL,ORD,PHX,DEN",3,1199,2647
"ATL,ORD,DFW,DEN",3,1199,2048
"ATL,ORD,MSP,DEN",3,1199,1619
"ATL,ORD,LAS,DEN",3,1199,2748
"ATL,LAS,LAX,DEN",3,1199,2844
"ATL,LAS,SFO,DEN",3,1199,3127
"ATL,LAS,ORD,DEN",3,1199,4149
"DFW,LAX",1,1234,1234
"DFW,ORD,LAX",2,1234,2546
"DFW,ATL,LAX",2,1234,2677
"DFW,DEN,LAX",2,1234,1503
"DFW,ORD,SFO,LAX",3,1234,2985
"DFW,ORD,DEN,LAX",3,1234,2551
"DFW,ORD,PHX,LAX",3,1234,2611
"DFW,ORD,ATL,LAX",3,1234,3354
"DFW,ORD,LAS,LAX",3,1234,2552
"DFW,ATL,ORD,LAX",3,1234,3081
"DFW,ATL,DEN,LAX",3,1234,2792
"DFW,ATL,LAS,LAX",3,1234,2714
"DFW,DEN,PHX,LAX",3,1234,1613
"DFW,DEN,LAS,LAX",3,1234,1505
"DFW,DEN,ORD,LAX",3,1234,3274
"DFW,DEN,SFO,LAX",3,1234,1945
"DFW,DEN,ATL,LAX",3,1234,3786
"SLC,DEN,ORD",2,1249,1279
"SLC,DEN,PHX,ORD",3,1249,2432
"SLC,DEN,LAX,ORD",3,1249,2997
"SLC,DEN,LAS,ORD",3,1249,2533
"SLC,DEN,SFO,ORD",3,1249,3204
"SLC,DEN,ATL,ORD",3,1249,2195
"SLC,DEN,DFW,ORD",3,1249,1833
"SLC,DEN,MSP,ORD",3,1249,1404
"MSP,PHX",1,1276,1276
"MSP,ORD,PHX",2,1276,1774
"MSP,DEN,PHX",2,1276,1281
"MSP,ORD,LAX,PHX",3,1276,2448
"MSP,ORD,DEN,PHX",3,1276,1824
"MSP,DEN,LAX,PHX",3,1276,1911
"MSP,DEN,ORD,PHX",3,1276,3008
"MSP,ORD,LAS",2,1299,1848
"MSP,DEN,LAS",2,1299,1308
"MSP,PHX,DEN,LAS",3,1299,2506
"MSP,PHX,ORD,LAS",3,1299,4230
"MSP,PHX,SEA,LAS",3,1299,3249
"MSP,PHX,LAX,LAS",3,1299,1882
"MSP,ORD,LAX,LAS",3,1299,2314
"MSP,ORD,SFO,LAS",3,1299,2594
"MSP,ORD,DEN,LAS",3,1299,1850
"MSP,ORD,ATL,LAS",3,1299,2686
"MSP,DEN,LAX,LAS",3,1299,1777
"MSP,DEN,ORD,LAS",3,1299,3082
"MSP,DEN,SFO,LAS",3,1299,2060
"MSP,DEN,ATL,LAS",3,1299,3625
"DFW,ATL,PHL",2,1302,1397
"DFW,LAX,ATL,PHL",3,1302,3847
"DFW,ORD,MCO,PHL",3,1302,2668
"DFW,ORD,ATL,PHL",3,1302,2073
"DFW,ATL,MCO,PHL",3,1302,1996
"DFW,DEN,ATL,PHL",3,1302,2506
"MSP,ORD,ATL,TPA",3,1306,1345
"MSP,DEN,ATL,TPA",3,1306,2285
"MSP,ORD,MCO",2,1310,1339
"MSP,PHX,ORD,MCO",3,1310,3720
"MSP,ORD,ATL,MCO",3,1310,1343
"MSP,DEN,ORD,MCO",3,1310,2573
"MSP,DEN,ATL,MCO",3,1310,2282
"DFW,LAX,SFO,EWR",3,1372,4137
"DFW,ORD,SFO,EWR",3,1372,5213
"DFW,ORD,MCO,EWR",3,1372,2744
"DFW,ATL,MCO,EWR",3,1372,2072
"DFW,ATL,FLL,EWR",3,1372,2376
"DFW,DEN,SFO,EWR",3,1372,4173
"LGA,ORD,DFW",2,1388,1535
"LGA,ATL,DFW",2,1388,1492
"LGA,ORD,LAX,DFW",3,1388,3712
"LGA,ORD,DEN,DFW",3,1388,2262
"LGA,ORD,ATL,DFW",3,1388,2070
"LGA,ATL,LAX,DFW",3,1388,3942
"LGA,ATL,ORD,DFW",3,1388,2169
"LGA,ATL,DEN,DFW",3,1388,2601
"LGA,MIA,ATL,DFW",3,1388,2422
"LGA,FLL,ATL,DFW",3,1388,2387
"JFK,LAX,DFW",2,1391,3709
"JFK,LAX,ORD,DFW",3,1391,5021
"JFK,LAX,DEN,DFW",3,1391,3977
"JFK,LAX,ATL,DFW",3,1391,5152
"JFK,SFO,LAX,DFW",3,1391,4158
"JFK,SFO,ORD,DFW",3,1391,5233
"JFK,SFO,DEN,DFW",3,1391,4194
"MSP,PHX,SEA",2,1398,2382
"MSP,PHX,LAX,SEA",3,1398,2600
"MSP,ORD,LAX,SEA",3,1398,3032
"MSP,ORD,SFO,SEA",3,1398,2858
"MSP,ORD,PHX,SEA",3,1398,2880
"MSP,ORD,LAS,SEA",3,1398,2714
"MSP,DEN,PHX,SEA",3,1398,2388
"MSP,DEN,LAX,SEA",3,1398,2495
"MSP,DEN,LAS,SEA",3,1398,2174
"MSP,DEN,SFO,SEA",3,1398,2325
"PHX,ORD",1,1439,1439
"PHX,DEN,ORD",2,1439,1490
"PHX,MSP,ORD",2,1439,1610
"PHX,LAX,ORD",2,1439,2114
"PHX,DEN,LAX,ORD",3,1439,3208
"PHX,DEN,LAS,ORD",3,1439,2744
"PHX,DEN,SFO,ORD",3,1439,3415
"PHX,DEN,ATL,ORD",3,1439,2406
"PHX,DEN,DFW,ORD",3,1439,2044
"PHX,DEN,MSP,ORD",3,1439,1615
"PHX,MSP,DEN,ORD",3,1439,2844
"PHX,SEA,LAX,ORD",3,1439,3805
"PHX,SEA,SFO,ORD",3,1439,3631
"PHX,SEA,LAS,ORD",3,1439,3487
"PHX,LAX,SFO,ORD",3,1439,2553
"PHX,LAX,LAS,ORD",3,1439,2120
"PHX,LAX,DEN,ORD",3,1439,2120
"PHX,LAX,ATL,ORD",3,1439,2922
"PHX,LAX,DFW,ORD",3,1439,2406
"DFW,LAX,SFO",2,1464,1572
"DFW,ORD,SFO",2,1464,2647
"DFW,DEN,SFO",2,1464,1608
"DFW,LAX,JFK,SFO",3,1464,6295
"DFW,LAX,ORD,SFO",3,1464,4825
"DFW,LAX,LAS,SFO",3,1464,1885
"DFW,LAX,DEN,SFO",3,1464,3063
"DFW,LAX,SEA,SFO",3,1464,2867
"DFW,ORD,LAX,SFO",3,1464,2883
"DFW,ORD,DEN,SFO",3,1464,2657
"DFW,ORD,LAS,SFO",3,1464,2730
"DFW,ATL,LAX,SFO",3,1464,3015
"DFW,ATL,ORD,SFO",3,1464,3183
"DFW,ATL,DEN,SFO",3,1464,2897
"DFW,ATL,LAS,SFO",3,1464,2891
"DFW,DEN,LAX,SFO",3,1464,1840
"DFW,DEN,LAS,SFO",3,1464,1683
"DFW,DEN,ORD,SFO",3,1464,3375
"DEN,ATL,DCA",2,1475,1746
"DEN,LAX,ATL,DCA",3,1475,3355
"DEN,LAS,ATL,DCA",3,1475,2921
"DEN,ORD,ATL,DCA",3,1475,2041
"DEN,DFW,ATL,DCA",3,1475,1919
"MSP,ORD,LGA,FLL",3,1487,2143
"MSP,ORD,ATL,FLL",3,1487,1520
"MSP,DEN,ATL,FLL",3,1487,2459
"MIA,LGA,ORD,MSP",3,1500,2163
"MIA,ATL,ORD,MSP",3,1500,1534
"MIA,ATL,DEN,MSP",3,1500,2473
"DEN,ATL,TPA",2,1506,1605
"DEN,LAX,ATL,TPA",3,1506,3214
"DEN,LAS,ATL,TPA",3,1506,2780
"DEN,ORD,ATL,TPA",3,1506,1899
"DEN,DFW,ATL,TPA",3,1506,1778
"ORD,LAS",1,1514,1514
"ORD,LAX,LAS",2,1514,1980
"ORD,SFO,LAS",2,1514,2260
"ORD,DEN,LAS",2,1514,1516
"ORD,ATL,LAS",2,1514,2352
"ORD,LAX,SFO,LAS",3,1514,2496
"ORD,LAX,DEN,LAS",3,1514,3234
"ORD,LAX,SEA,LAS",3,1514,3564
"ORD,LAX,ATL,LAS",3,1514,5437
"ORD,LGA,ATL,LAS",3,1514,3241
"ORD,SFO,LAX,LAS",3,1514,2419
"ORD,SFO,DEN,LAS",3,1514,3441
"ORD,SFO,SEA,LAS",3,1514,3391
"ORD,DEN,LAX,LAS",3,1514,1986
"ORD,DEN,SFO,LAS",3,1514,2269
"ORD,DEN,ATL,LAS",3,1514,3834
"ORD,PHX,DEN,LAS",3,1514,2669
"ORD,PHX,SEA,LAS",3,1514,3413
"ORD,PHX,LAX,LAS",3,1514,2046
"ORD,MCO,ATL,LAS",3,1514,3155
"ORD,DFW,LAX,LAS",3,1514,2272
"ORD,DFW,ATL,LAS",3,1514,3279
"ORD,DFW,DEN,LAS",3,1514,2071
"ORD,MSP,DEN,LAS",3,1514,1642
"ORD,ATL,LAX,LAS",3,1514,2788
"ORD,ATL,DEN,LAS",3,1514,2433
"MSP,ORD,SFO,SAN",3,1532,2626
"MSP,DEN,SFO,SAN",3,1532,2093
"MSP,PHX,LAX",2,1535,1646
"MSP,ORD,LAX",2,1535,2078
"MSP,DEN,LAX",2,1535,1541
"MSP,PHX,DEN,LAX",3,1535,2739
"MSP,PHX,ORD,LAX",3,1535,4460
"MSP,PHX,SEA,LAX",3,1535,3336
"MSP,ORD,SFO,LAX",3,1535,2517
"MSP,ORD,DEN,LAX",3,1535,2084
"MSP,ORD,PHX,LAX",3,1535,2144
"MSP,ORD,DFW,LAX",3,1535,2370
"MSP,ORD,ATL,LAX",3,1535,2886
"MSP,ORD,LAS,LAX",3,1535,2084
"MSP,DEN,PHX,LAX",3,1535,1651
"MSP,DEN,LAS,LAX",3,1535,1544
"MSP,DEN,ORD,LAX",3,1535,3312
"MSP,DEN,SFO,LAX",3,1535,1984
"MSP,DEN,ATL,LAX",3,1535,3825
"MSP,DEN,DFW,LAX",3,1535,2556
"DEN,ORD,MCO",2,1546,1893
"DEN,ATL,MCO",2,1546,1602
"DEN,PHX,ORD,MCO",3,1546,3046
"DEN,LAX,ORD,MCO",3,1546,3611
"DEN,LAX,ATL,MCO",3,1546,3211
"DEN,LAS,ATL,MCO",3,1546,2778
"DEN,LAS,ORD,MCO",3,1546,3147
"DEN,ORD,ATL,MCO",3,1546,1897
"DEN,SFO,ORD,MCO",3,1546,3818
"DEN,SFO,EWR,MCO",3,1546,4469
"DEN,ATL,ORD,MCO",3,1546,2810
"DEN,ATL,PHL,MCO",3,1546,2726
"DEN,DFW,ORD,MCO",3,1546,2448
"DEN,DFW,ATL,MCO",3,1546,1776
"DEN,MSP,ORD,MCO",3,1546,2019
"DEN,ATL,PHL",2,1557,1865
"DEN,LAX,ATL,PHL",3,1557,3474
"DEN,LAS,ATL,PHL",3,1557,3041
"DEN,ORD,MCO,PHL",3,1557,2754
"DEN,ORD,ATL,PHL",3,1557,2160
"DEN,ATL,MCO,PHL",3,1557,2464
"DEN,DFW,ATL,PHL",3,1557,2038
"ATL,LAX,PHX",2,1587,2316
"ATL,ORD,PHX",2,1587,2045
"ATL,DEN,PHX",2,1587,1801
"ATL,MCO,ORD,PHX",3,1587,2848
"ATL,LGA,ORD,PHX",3,1587,2934
"ATL,LAX,ORD,PHX",3,1587,5130
"ATL,LAX,DEN,PHX",3,1587,3410
"ATL,LAX,SEA,PHX",3,1587,4007
"ATL,DFW,LAX,PHX",3,1587,2336
"ATL,DFW,ORD,PHX",3,1587,2973
"ATL,DFW,DEN,PHX",3,1587,1974
"ATL,ORD,LAX,PHX",3,1587,2720
"ATL,ORD,DEN,PHX",3,1587,2095
"ATL,ORD,MSP,PHX",3,1587,2215
"ATL,DEN,LAX,PHX",3,1587,2431
"ATL,DEN,ORD,PHX",3,1587,3527
"ATL,DEN,MSP,PHX",3,1587,3155
"ATL,LAS,LAX,PHX",3,1587,2352
"ATL,LAS,DEN,PHX",3,1587,2976
"ATL,LAS,SEA,PHX",3,1587,3719
"ATL,LAS,ORD,PHX",3,1587,4700
"MSP,ORD,SFO",2,1588,2180
"MSP,DEN,SFO",2,1588,1646
"MSP,PHX,DEN,SFO",3,1588,2844
"MSP,PHX,ORD,SFO",3,1588,4562
"MSP,PHX,SEA,SFO",3,1588,3061
"MSP,PHX,LAX,SFO",3,1588,1983
"MSP,ORD,LAX,SFO",3,1588,2416
"MSP,ORD,DEN,SFO",3,1588,2189
"MSP,ORD,LAS,SFO",3,1588,2262
"MSP,DEN,LAX,SFO",3,1588,1879
"MSP,DEN,LAS,SFO",3,1588,1722
"MSP,DEN,ORD,SFO",3,1588,3414
"ATL,DEN,SLC",2,1589,1590
"ATL,LAX,DEN,SLC",3,1589,3199
"ATL,DFW,DEN,SLC",3,1589,1763
"ATL,ORD,DEN,SLC",3,1589,1884
"ATL,LAS,DEN,SLC",3,1589,2765
"DEN,SFO,EWR",2,1604,3532
"DEN,LAX,SFO,EWR",3,1604,3764
"DEN,LAS,SFO,EWR",3,1604,3607
"DEN,ORD,SFO,EWR",3,1604,5299
"DEN,ORD,MCO,EWR",3,1604,2830
"DEN,ATL,MCO,EWR",3,1604,2540
"DEN,ATL,FLL,EWR",3,1604,2844
"LGA,ORD,DEN",2,1619,1621
"LGA,ATL,DEN",2,1619,1960
"LGA,ORD,LAX,DEN",3,1619,3339
"LGA,ORD,SFO,DEN",3,1619,3546
"LGA,ORD,PHX,DEN",3,1619,2774
"LGA,ORD,DFW,DEN",3,1619,2176
"LGA,ORD,MSP,DEN",3,1619,1747
"LGA,ORD,ATL,DEN",3,1619,2538
"LGA,ORD,LAS,DEN",3,1619,2875
"LGA,ATL,LAX,DEN",3,1619,3569
"LGA,ATL,DFW,DEN",3,1619,2134
"LGA,ATL,ORD,DEN",3,1619,2255
"LGA,ATL,LAS,DEN",3,1619,3136
"LGA,MIA,ATL,DEN",3,1619,2890
"LGA,FLL,ATL,DEN",3,1619,2855
"JFK,LAX,DEN",2,1625,3336
"JFK,SFO,DEN",2,1625,3553
"JFK,LAX,SFO,DEN",3,1625,3779
"JFK,LAX,ORD,DEN",3,1625,5107
"JFK,LAX,LAS,DEN",3,1625,3339
"JFK,LAX,ATL,DEN",3,1625,5620
"JFK,LAX,DFW,DEN",3,1625,4351
"JFK,LAX,PHX,DEN",3,1625,3446
"JFK,SFO,LAX,DEN",3,1625,3785
"JFK,SFO,ORD,DEN",3,1625,5320
"JFK,SFO,LAS,DEN",3,1625,3628
"SEA,LAX,DFW",2,1659,2188
"SEA,LAX,ORD,DFW",3,1659,3500
"SEA,LAX,DEN,DFW",3,1659,2456
"SEA,LAX,ATL,DFW",3,1659,3631
"SEA,SFO,LAX,DFW",3,1659,2250
"SEA,SFO,ORD,DFW",3,1659,3326
"SEA,SFO,DEN,DFW",3,1659,2286
"SEA,PHX,DEN,DFW",3,1659,2349
"SEA,PHX,ORD,DFW",3,1659,3348
"SEA,PHX,LAX,DFW",3,1659,2711
"SEA,LAS,LAX,DFW",3,1659,2337
"SEA,LAS,DEN,DFW",3,1659,2135
"SEA,LAS,ATL,DFW",3,1659,3344
"SEA,LAS,ORD,DFW",3,1659,3182
"FLL,ATL,DEN",2,1703,1779
"FLL,ATL,LAX,DEN",3,1703,3388
"FLL,ATL,DFW,DEN",3,1703,1953
"FLL,ATL,ORD,DEN",3,1703,2074
"FLL,ATL,LAS,DEN",3,1703,2955
"FLL,EWR,SFO,DEN",3,1703,4596
"FLL,LGA,ORD,DEN",3,1703,2697
"FLL,LGA,ATL,DEN",3,1703,3036
"MIA,ATL,DEN",2,1708,1793
"MIA,LGA,ORD,DEN",3,1708,2718
"MIA,LGA,ATL,DEN",3,1708,3057
"MIA,ATL,LAX,DEN",3,1708,3402
"MIA,ATL,DFW,DEN",3,1708,1967
"MIA,ATL,ORD,DEN",3,1708,2088
"MIA,ATL,LAS,DEN",3,1708,2969
"SEA,LAX,ORD",2,1720,2698
"SEA,SFO,ORD",2,1720,2524
"SEA,PHX,ORD",2,1720,2546
"SEA,LAS,ORD",2,1720,2380
"SEA,LAX,SFO,ORD",3,1720,3137
"SEA,LAX,LAS,ORD",3,1720,2704
"SEA,LAX,DEN,ORD",3,1720,2704
"SEA,LAX,ATL,ORD",3,1720,3506
"SEA,LAX,DFW,ORD",3,1720,2990
"SEA,LAX,PHX,ORD",3,1720,2763
"SEA,SFO,LAX,ORD",3,1720,2760
"SEA,SFO,LAS,ORD",3,1720,2606
"SEA,SFO,DEN,ORD",3,1720,2533
"SEA,PHX,DEN,ORD",3,1720,2596
"SEA,PHX,MSP,ORD",3,1720,2716
"SEA,PHX,LAX,ORD",3,1720,3221
"SEA,LAS,LAX,ORD",3,1720,2847
"SEA,LAS,DEN,ORD",3,1720,2382
"SEA,LAS,SFO,ORD",3,1720,3126
"SEA,LAS,ATL,ORD",3,1720,3218
"SAN,SFO,ORD",2,1723,2292
"SAN,SFO,LAX,ORD",3,1723,2528
"SAN,SFO,LAS,ORD",3,1723,2374
"SAN,SFO,DEN,ORD",3,1723,2301
"LAX,ORD",1,1744,1744
"LAX,SFO,ORD",2,1744,2183
"LAX,LAS,ORD",2,1744,1750
"LAX,DEN,ORD",2,1744,1750
"LAX,ATL,ORD",2,1744,2552
"LAX,DFW,ORD",2,1744,2036
"LAX,PHX,ORD",2,1744,1809
"LAX,SFO,LAS,ORD",3,1744,2265
"LAX,SFO,DEN,ORD",3,1744,2192
"LAX,JFK,SFO,ORD",3,1744,6907
"LAX,LAS,DEN,ORD",3,1744,1752
"LAX,LAS,SFO,ORD",3,1744,2496
"LAX,LAS,ATL,ORD",3,1744,2588
